Partido;Color
PP;0x1d85ce
PSOE;0xef1b27
IU-LV;0x71211f
UPyD;0xe9008d
CiU;0x192e7c
AMAIUR;0x086e79
EAJ-PNV;0x49ae4b
ESQUERRA;0xffb130
BNG;0xaccfef
CC-NC-PNC;0xffb02e
COMPROMÍS-Q;0xf85e42
FAC;0xf85e42
GBAI;0Xeb8851
