Partido;Color
PSOE;0xed1b29
PP;0x1d85ce
IU;0x510100
CiU;0x183078
ERC;0xffb232
EAJ-PNV;0x49ae4b
CC;0xf8d701
BNG;0xabcfee
CHA;0x99cc67
EA;0x268c26
Na-Bai;0xff0304
