Partido;Color
P.S.O.E.;0xef1b27
P.P.;0x1d85ce
I.U.;0x712120
CiU;0x162e81
EAJ-PNV;0x49ae4b
UPyD;0xe9008d
ESQUERRA;0xffb232
B.N.G.;0xaccfef
CC-PNC;0xfed700
NA-BAI;0xf85e40
