Partido;Color
PSOE;0xf11d29
PP;0x1e84ca
IU;0x722120
CDS;0x049456
CIU;0x182e7b
EAJ-PNV;0x4aae4b
HB;0x633000
PA;0x015831
UV;0x1f4373
EA;0x75ac1f
EE;0x80df21
PAR;0xffca63
AIC;0xfed700
