Partido;Color
PP;0x1d85ce
PSOE;0xef1b27
VOX;0x62bf20
SUMAR;0xef4b90
ERC;0xffad3b
JxCAT-JUNTS;0x00ac8e
EH Bildu;0xb0d136
EAJ-PNV;0x4cad4b
B.N.G.;0xaccfef
CCa;0xfed503
U.P.N.;0x00599b
