Partido;Color
PP;0x1f84c8
PSOE;0xf51824
IU;0x6f231d
CIU;0x182f7b
EAJ-PNV;0x4aae4b
CC;0xfdd700
BNG;0xaccfef
HB;0x722120
ERC;0xffb132
EA;0x78af15
UV;0x1f4373
