Partido;Color
PSOE;0xee1c23
AP-PDP-PL;0x2d84a4
CDS;0x049456
CIU;0x323174
IU;0x70221e
EAJ-PNV;0x47af4b
HB;0x633100
EE;0x80df21
CG;0x000383
PAR;0xffcc66
AIC;0xfed700
UV;0x1f4373
