Partido;Color
PP;0x1D84CE
PSOE;0xEF1C27
C's;0xEB6109
PODEMOS;0x672F6C
EN COMÚ;0xD42B16
IU-UPeC;0X732021
PODEMOS-COM;0xFA743E
ERC-CATSI;0xFFAA00
DL;0x212765
PODEMOS-En;0x0036FF
EAJ-PNV;0x008000
EH Bildu;0xB5CF18
CCa-PNC;0xFFD700
