Partido;Color
PP;0x1D84CE
PSOE;0xEF1C27
PODEMOS-IU-EQUO;0x7B4977
C's;0xEB6109
ECP;0xD42B16
PODEMOS-COMPROMÍS-EUPV;0x2AAB8C
ERC-CATSÍ;0xFFAA00
CDC;0x00447B
PODEMOS-EN MAREA-ANOVA-EU;0x0036FF
EAJ-PNV;0x008000
EH Bildu;0xB5CF18
CCa-PNC;0xFFD700
