Partido;Color
UCD;0x197f36
PSOE;0xef1b27
PCE;0x971223
AP;0xffa519
PSP-US;0xfe787a
PDPC;0xf9c700
PNV;0x4aae4b
UDC-IDCC;0xf8471b
EC-FED;0xffcc66
EE;0x7fdf1f
CAIC;0xeff24d
INDEP;0xaaaaaa
