Partido;Color
PP;0x1d85ce
PSOE-PROGR.;0xef1b27
IU;0x73201f
CIU;0x123174
EAJ-PNV;0x49ae49
BNG;0xaccef1
CC;0xfed600
PA;0x015931
ERC;0xffb232
IC-V;0x77ac1c
EA;0x4e9d41
CHA;0x018a22
