Partido;Color
PSOE;0xef1b27
PP;0x1d85ce
IU;0x722120
CIU;0x182f7d
EAJ-PNV;0x47af49
CC;0xfed700
HB;0x633000
ERC;0xffb232
PAR;0xffcc66
EA-EUE;0x77ac1c
UV;0x1e4373
