Partido;Color
PSOE;0xef1b27
AP-PDP;0xffa519
UCD;0x197f36
PCE;0x961320
CIU;0x182e7e
CDS;0x029555
EAJ-PNV;0x4aae4b
HB;0x633100
ERC;0xffb232
EE;0x80df21
