Partido;Color
UCD;0x197f36
PSOE;0xef1b27
PCE;0x971223
CD;0x8e9629
CIU;0x192e7c
UN;0x383ca8
PSA-PA;0x015931
PNV;0x4aae4b
HB;0x633100
ERFN;0x0xffb232
EE;0x81de21
C-UPC;0x00599b
PAR;0xffcc66
UPN;0x00595b
